# Logfile created on 2026-03-31 18:27:38 +0200 by logger.rb/v1.5.3
2026-03-31 18:27:38 +0200: Memory Usage (443896K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/IHP__SoC7610/release/v.1.0.0/gds/octowave.gds
2026-03-31 18:27:38 +0200: Memory Usage (443896K) : Ruby Version for klayout: 3.2.3
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : Loading database to memory is complete.
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/IHP__SoC7610/release/v.1.0.0/gds/drc_run_2026_03_31_16_27_33/octowave_octowave_cont.lyrdb
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : Evaluate switches.
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : tables selected: cont
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : KLayout will use 32 thread(s) in tiling mode.
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : deep mode is enabled.
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : FEOL enabled: false
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : BEOL enabled: false
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : OFFGRID enabled: false
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : ANGLE enabled: true
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : PIN enabled: false
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : FORBIDDEN enabled: false
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : RECOMMENDED enabled: false
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : PreCheck DRC enabled: true
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : CONNECTIVITY_RULES enabled: false.
2026-03-31 18:27:42 +0200: Memory Usage (658760K) : Read in polygons from layers.
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_drw has 403323 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_pin has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_mask has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_filler has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_nofill has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_opc has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_iopc has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : activ_noqrc has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : biwind_drw has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : biwind_opc has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674412K) : pemwind_drw has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_drw has 363609 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_pin has 774 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_filler has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_nofill has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_opc has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_iopc has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (684180K) : gatpoly_noqrc has 0 polygons
2026-03-31 18:27:48 +0200: Memory Usage (752164K) : cont_drw has 11013776 polygons
2026-03-31 18:27:48 +0200: Memory Usage (752164K) : cont_opc has 0 polygons
2026-03-31 18:27:48 +0200: Memory Usage (752164K) : nsd_drw has 0 polygons
2026-03-31 18:27:48 +0200: Memory Usage (752164K) : nsd_block has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (760732K) : metal1_drw has 833614 polygons
2026-03-31 18:27:52 +0200: Memory Usage (760732K) : metal1_pin has 347782 polygons
2026-03-31 18:27:52 +0200: Memory Usage (760732K) : metal1_mask has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (760732K) : metal1_filler has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (760732K) : metal1_nofill has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (760732K) : metal1_slit has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : metal1_text has 338966 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : metal1_opc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : metal1_noqrc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : metal1_res has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : metal1_iprobe has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : metal1_diffprb has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : passiv_drw has 120 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : passiv_pin has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : passiv_sbump has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : passiv_pillar has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (766192K) : passiv_pdl has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (784408K) : metal2_drw has 659685 polygons
2026-03-31 18:27:54 +0200: Memory Usage (784408K) : metal2_pin has 2290 polygons
