# Logfile created on 2026-03-31 18:27:58 +0200 by logger.rb/v1.5.3
2026-03-31 18:27:58 +0200: Memory Usage (444944K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/IHP__SoC7610/release/v.1.0.0/gds/octowave.gds
2026-03-31 18:27:58 +0200: Memory Usage (444944K) : Ruby Version for klayout: 3.2.3
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : Loading database to memory is complete.
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/IHP__SoC7610/release/v.1.0.0/gds/drc_run_2026_03_31_16_27_33/octowave_octowave_forbidden.lyrdb
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : Evaluate switches.
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : tables selected: forbidden
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : KLayout will use 32 thread(s) in tiling mode.
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : deep mode is enabled.
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : FEOL enabled: false
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : BEOL enabled: false
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : OFFGRID enabled: false
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : ANGLE enabled: true
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : PIN enabled: false
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : FORBIDDEN enabled: false
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : RECOMMENDED enabled: false
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : PreCheck DRC enabled: true
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : CONNECTIVITY_RULES enabled: false.
2026-03-31 18:28:01 +0200: Memory Usage (659588K) : Read in polygons from layers.
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_drw has 403323 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_pin has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_mask has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_filler has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_nofill has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_opc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_iopc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : activ_noqrc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : biwind_drw has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : biwind_opc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675288K) : pemwind_drw has 0 polygons
2026-03-31 18:28:03 +0200: Memory Usage (685176K) : gatpoly_drw has 363609 polygons
2026-03-31 18:28:03 +0200: Memory Usage (685176K) : gatpoly_pin has 774 polygons
2026-03-31 18:28:03 +0200: Memory Usage (685176K) : gatpoly_filler has 0 polygons
2026-03-31 18:28:03 +0200: Memory Usage (685176K) : gatpoly_nofill has 0 polygons
